titolo,autore,quantita,eta_minima,genere
storie del bosco,tony wolf,1,6,saggio
storie del bosco di gnomi di giganti e di fate ,tony wolf,1,6,narrativa
storie del bosco di gnomi di giganti e di fate di folletti e di draghi,tony wolf,1,6,narrativa
storie del bosco di gnomi di giganto di fate e di folletti,tony wolf,1,6,narrativa
storie della buonanotte per bambine ribelli,oscar absolute,1,6,narrativa
Storie di animali,Paola Rolando Tomat,6,6,scienza
Storie di capricci,Lodovica cima,1,6,narrativa
Storie di capricci,L- Cima,1,6,narrativa
Storie di codarotta,T. Bruno,1,6,narrativa
super gol!.  cipolline in campo per l' africa,luigi garlando,1,7,sport
Super spavento: il caso scienziato pazzo,J. Creepy,1,7,giallo
Super spavento: il videogioco dell'orrore,J. Creepy,1,7,giallo
Talenti da fiaba,B. Masini,1,6,saggio
Tante storie per giocare,G. Rodari,1,6,saggio
Tartarino di Tarascona,P. Ferrarini G. Gavioli,1,7,narrativa
The adventures of Pinocchio,Giunti,1,10,lingua
The emperor and the nightingale,H.C Andersen,1,10,lingua
The little giraffe,L. Sims,1,10,lingua
The little Red Hen,Giunti -scuola di inglese,1,10,lingua
The sleeping Prince,U. F. Fairy Tales,1,10,lingua
The three Billy goats gruff,Giunti,1,10,lingua
Ti racconto Marzabotto,Lautizi,1,10,storia
Tipi,C. Bellemo,1,7,saggio
Topi ne abbiamo?,A. Strada,1,7,scienza
Topo di biblioteca,Topo di biblioteca,1,7,narrativa
Tre cuccioli imperiali,N. Vittori,1,7,narrativa
Tre desideri molto smart,M. Salvi,1,7,narrativa
Tre sirene e un pirata,E. Prati,1,7,narrativa
Troppi conigli,Davide Calì,1,7,narrativa
Trottolina e altre fiabe,Il mulino a vento,1,7,narrativa
Tu sei musica,Elisa Vincenzi / I. Braiotta,1,7,saggio
tutta colpa di un cane,anna vivarelli,1,7,narrativa
Un barattolo muostroso,R.L. Stine,1,7,giallo
Un cappuccetto a rovescio,S. Mattiangeli,1,7,narrativa
Un elefante in giardino,M. Morpurgo,1,7,narrativa
Un genio nel salvadanaio,G. Rubio,1,7,narrativa
Un meraviglioso mondo per Oliver,G. Stilton,4,6,narrativa
Un pipistrello per amico - 1,G. Stilton,1,6,narrativa
Un pirata in soffitta,N. Cinquetti,1,7,narrativa
Un pomeriggio in piscina,Io leggo da solo,1,6,narrativa
Un safari emozionante,Il mulino a vento,1,7,narrativa
Un unicorno per amico: la giornata dello sport,De Agostini,1,6,sport
Un unicorno per amico: la gita scolastica,De Agostini,1,6,saggio
Un unicorno per amico: un natale indimenticabile,De Agostini,1,6,saggio
Una bimba chiamata Africa,A. Melis,1,7,scienza
Una sorprendente domenica,Morrone,1,8,narrativa
Una storia in 5 minuti! Arturo e il drago ,Emme edizioni ,1,6,saggio
Una storia in 5 minuti! Ottozampe,Emme edizioni ,1,6,saggio
Uno scambio fatale,G. Sgardioli,1,7,narrativa
Valentina si sposa,Angelo Petrosino,1,9,narrativa
Ve la spieghimo noi.La Costituzione raccontata ai bambini,Fondazione giovanni goria,2,9,storia
